title,author,full_link,like_count,cover_pic,author_img
北京50座古寺庙，去过10个是地道北京人！,冷三岁,https://www.xiaohongshu.com/explore/66d7106e000000000c0198ff?xsec_token=ABYRvERfua5oX8llJWpzfhWZZx5exvXAk97lWkOxakh-U=&xsec_source=pc_search,2195,https://sns-webpic-qc.xhscdn.com/202503232226/48461e8c72f95b317b1e4f5d64f0ff4c/1040g0083179n00afgs005ok7rlqoddtp84deb7g!nc_n_webp_mw_1,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo315rf74tt0s005ok7rlqoddtpjp5isbg?imageView2/2/w/80/format/jpg?imageView2/2/w/60/format/webp|imageMogr2/strip
北京二环以内的五条citywalk路线,放风筝的拾荒者,https://www.xiaohongshu.com/explore/66935cec0000000025001cd6?xsec_token=AB__caT7ObjVuvtzghWB4uy9H5q7q_wl0TAWa3HrBhY2Y=&xsec_source=pc_search,5278,https://sns-webpic-qc.xhscdn.com/202503232226/ae104bf3344f756e2653d84d52c38b08/1040g2sg315j6u7engqdg5o0fst80biqm3v862j0!nc_n_webp_mw_1,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31239e4781k505o0fst80biqmmqa3fe8?imageView2/2/w/80/format/jpg?imageView2/2/w/60/format/webp|imageMogr2/strip
12分钟详解北京第一寺庙，您不知道的太多了,紫禁城小圆,https://www.xiaohongshu.com/explore/677ce39c0000000020018587?xsec_token=ABaRGOcQB7VgNu0Vzg2Cmj5kiOpH2hZ6uuweROZ3V7H_0=&xsec_source=pc_search,1637,https://sns-webpic-qc.xhscdn.com/202503232226/d4e50f5fc23354dc25e86106c0840163/1040g2sg31cbl04m0g8705om9ai70vuo45u72450!nc_n_webp_mw_1,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo3106pfhb0m4005om9ai70vuo49g98mbo?imageView2/2/w/80/format/jpg?imageView2/2/w/60/format/webp|imageMogr2/strip
上班卷不动了🌸就去二环这5处寺庙赏花吧,Fay,https://www.xiaohongshu.com/explore/67bdbea4000000000602b96f?xsec_token=ABIWDeJgMfyyLpeIGMQfh5gtbvkXklq8eUQ51_8j7R5OE=&xsec_source=pc_search,699,https://sns-webpic-qc.xhscdn.com/202503232226/0c30478431c30a9bd46a6afb78892d37/1040g00831eavof2bgs60401d7nfb756un5pouk0!nc_n_webp_mw_1,https://sns-avatar-qc.xhscdn.com/avatar/5d37d64c184fd3000152add1.jpg?imageView2/2/w/80/format/jpg?imageView2/2/w/60/format/webp|imageMogr2/strip
京西小故宫万寿寺,蒙曼,https://www.xiaohongshu.com/explore/67c8e81f0000000029009b78?xsec_token=ABPps3h6PsqqoLzuu3VloK-Ix2TzK5LpGAUgtIY1jlNpc=&xsec_source=pc_search,1975,https://sns-webpic-qc.xhscdn.com/202503232226/bb0cfbb1d01bc02ec2b7270a68020b08/1040g00831elsii1j526g5ov6sdq9i8882pci420!nc_n_webp_mw_1,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo312evtmmn1k6g5ov6sdq9i888ru5mufo?imageView2/2/w/80/format/jpg?imageView2/2/w/60/format/webp|imageMogr2/strip
北京10大最灵的寺庙排行，真的挺准,北京范哥,https://www.xiaohongshu.com/explore/676b7792000000000b021052?xsec_token=ABOo4HG6Y17gPbR5yTM0huE_8GG3JIqy6FSQUXiBub1cI=&xsec_source=pc_search,579,https://sns-webpic-qc.xhscdn.com/202503232226/1cc622e19c66f2df8bed84bddfd257bc/1040g2sg31bqkis40h0705n8b37skjomrnjsecdg!nc_n_webp_mw_1,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo313fejcol02005n8b37skjomrqpnento?imageView2/2/w/80/format/jpg?imageView2/2/w/60/format/webp|imageMogr2/strip
来药师寺抄经吧！北京小众冷门寺庙助你解忧,猫狗双全的佳佳,https://www.xiaohongshu.com/explore/67cc2fcd000000000603927a?xsec_token=ABBZs6I09FZCTBPU_Nm2sd2EC5t21SphLgZEwoaoeTj9Q=&xsec_source=pc_search,430,https://sns-webpic-qc.xhscdn.com/202503232226/efd79d6e74d86dbbab4b173e4c46ed44/notes_pre_post/1040g3k831ep2m5n66g70401960t8485lv5svig8!nc_n_webp_mw_1,https://sns-avatar-qc.xhscdn.com/avatar/63f5c170e280e824002d4904.jpg?imageView2/2/w/80/format/jpg?imageView2/2/w/60/format/webp|imageMogr2/strip
如果你不知道北京的寺庙，请看这篇笔记,三镜弟弟,https://www.xiaohongshu.com/explore/67bd33ee000000000302b78e?xsec_token=ABIWDeJgMfyyLpeIGMQfh5gsAiT9YaDfzkLrlEZYr9_yQ=&xsec_source=pc_search,297,https://sns-webpic-qc.xhscdn.com/202503232226/f09f114fd92302edd8c014e1d9562548/1040g2sg31eaeqm3n10705n416jl4bebu4fmvb7o!nc_n_webp_mw_1,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31cee0focgu005n416jl4bebu2q45m5o?imageView2/2/w/80/format/jpg?imageView2/2/w/60/format/webp|imageMogr2/strip
11分钟详解法源寺，您不知道的太多了,紫禁城小圆,https://www.xiaohongshu.com/explore/67bf973b0000000029036a02?xsec_token=ABhzB-tprwiLE1yVFuhCqFA_q-gXlq9QBNarQZTvnRTP0=&xsec_source=pc_search,1142,https://sns-webpic-qc.xhscdn.com/202503232226/9ae937313fa133929f5ea3320519d0a6/1040g00831ecpcb6uh6005om9ai70vuo45tt21dg!nc_n_webp_mw_1,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo3106pfhb0m4005om9ai70vuo49g98mbo?imageView2/2/w/80/format/jpg?imageView2/2/w/60/format/webp|imageMogr2/strip
北京必去九大寺庙✔寺庙祈福这一篇就够了,华睿团建,https://www.xiaohongshu.com/explore/67087b7f000000001902e213?xsec_token=AB7fuEceDjEhafMs3e4AWVcNrdfGqXVwj8C0Q3VlkpyZ4=&xsec_source=pc_search,1855,https://sns-webpic-qc.xhscdn.com/202503232226/9673f9282a825d4b53a332ee79c6bb17/1040g008318pva5g8gq605p0jqmml2bvkuhcq9sg!nc_n_webp_mw_1,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31ag7npv76q605p0jqmml2bvkr6977o0?imageView2/2/w/80/format/jpg?imageView2/2/w/60/format/webp|imageMogr2/strip
