title,author,full_link,like_count,cover_pic,author_img
0️⃣失误啤酒🍺选购清单✅️直接抄作业,懂酒帝,https://www.xiaohongshu.com/explore/67d023fc00000000090382ab?xsec_token=ABrx7XiuncOp2JB7b_Hp0CM__67q1oS-k3_e3KY4U58vo=&xsec_source=pc_search,1834,https://sns-webpic-qc.xhscdn.com/202503172207/8aa5328f9d6d406819412dc4fb2210dc/1040g2sg31esuk6v8666g5p0613nk4tfuap8crd0!nc_n_webp_mw_1,https://sns-avatar-qc.xhscdn.com/avatar/1000g2jo2n52r08sjk0505p0613nk4tfufgki8a8?imageView2/2/w/80/format/jpg?imageView2/2/w/60/format/webp|imageMogr2/strip
限时6折‼️世界级获奖精酿全部安排,京A精酿啤酒,https://www.xiaohongshu.com/explore/66c0cdc6000000000d0311c4?xsec_token=ABDEEL2luK9nuPspNkmPQDAHTfnbrhHHBo02CrbmmlHmw=&xsec_source=pc_search,378,https://sns-webpic-qc.xhscdn.com/202503172207/e9cb7344a6d7d24d6b253d2d53982b6c/1040g2sg316jvb5db2odg5o26skjg86dpsihqf4g!nc_n_webp_mw_1,https://sns-avatar-qc.xhscdn.com/avatar/63243ae68c8bb8ed73fd7cd1.jpg?imageView2/2/w/80/format/jpg?imageView2/2/w/60/format/webp|imageMogr2/strip
精酿入门｜必须知道的6种啤酒风格（合集）,退界-死微微,https://www.xiaohongshu.com/explore/6687cb67000000000a024961?xsec_token=ABOKSmPydFlp5JPzNpJdUUzYAPfBJWJz0nkf_NzH6SuC4=&xsec_source=pc_search,3076,https://sns-webpic-qc.xhscdn.com/202503172207/64b1f1f6b06785648ec3d2b848541bcb/1040g008314s9q9ef0u005na5jauk6ufqncsg2ao!nc_n_webp_mw_1,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo314umg16fh4005na5jauk6ufqdt7f86o?imageView2/2/w/80/format/jpg?imageView2/2/w/60/format/webp|imageMogr2/strip
我在哪儿才能买到这个啤酒？,啤酒探险家大C,https://www.xiaohongshu.com/explore/67c988cc000000002902ed06?xsec_token=AB5vfBTd_i3ghCl5_vyCXHhSR84Fa9O0v7tlb184mAlPM=&xsec_source=pc_search,8,https://sns-webpic-qc.xhscdn.com/202503172207/ae7f5cd712c460b40540d49352da3291/notes_pre_post/1040g3k031emel1il5q3g5p2n53jaa9hb241mut0!nc_n_webp_mw_1,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo313hk31m8205g5p2n53jaa9hbp8g3hhg?imageView2/2/w/80/format/jpg?imageView2/2/w/60/format/webp|imageMogr2/strip
德式白啤的真正天花板，不是柏龙和教士！,阿银有点渴,https://www.xiaohongshu.com/explore/6645a366000000001e038ac0?xsec_token=ABLylF6Khcadxrs_BPCy6anni7Ua092Xjysz3JXgb4MTc=&xsec_source=pc_search,2629,https://sns-webpic-qc.xhscdn.com/202503172207/39bbaa455b48a60171073c492571678a/spectrum/1040g0k0312rmcv9ikk005ofjd5u40hfbf7uld5o!nc_n_webp_mw_1,https://sns-avatar-qc.xhscdn.com/avatar/6375aa98784bd514551a3dee.jpg?imageView2/2/w/80/format/jpg?imageView2/2/w/60/format/webp|imageMogr2/strip
19.9💰 2升，无脑冲❗被买爆的精酿啤酒,半度酒铺,https://www.xiaohongshu.com/explore/663f17f2000000001e0323b5?xsec_token=ABaB0f-yEB7gpmGW8OqHAiLAbO-IIEbsX8xfJKvjkBmNY=&xsec_source=pc_search,238,https://sns-webpic-qc.xhscdn.com/202503172207/87e41944717c9a4421799f98b9135fba/1040g008312l9tbavnk6g5padol120bcvh0m67q0!nc_n_webp_mw_1,https://sns-avatar-qc.xhscdn.com/avatar/662a20d122da3c00012932d3.jpg?imageView2/2/w/80/format/jpg?imageView2/2/w/60/format/webp|imageMogr2/strip
一天吃透一条产业链｜No.19 啤酒,平山冷燕,https://www.xiaohongshu.com/explore/65fe3eea00000000130258cb?xsec_token=ABpl73Hp0g4-KyWuTA7N1WwNowJk2iZ-Sy35du6dRu6Lw=&xsec_source=pc_search,2871,https://sns-webpic-qc.xhscdn.com/202503172207/88f927e0aa75da6c7fa7588257a4e3aa/1040g2sg310lvdhkv6m00497b3v085utfjf7te5o!nc_n_webp_mw_1,https://sns-avatar-qc.xhscdn.com/avatar/657520c59dc7c6146a9f6dd3.jpg?imageView2/2/w/80/format/jpg?imageView2/2/w/60/format/webp|imageMogr2/strip
获奖精酿隆重登场！就是京A没错！,京A精酿啤酒,https://www.xiaohongshu.com/explore/66ba2ea10000000005032751?xsec_token=ABN0uUE3K2EiBdnZVY5j13iqvSQO54cJcTYs43QFGqoZ0=&xsec_source=pc_search,236,https://sns-webpic-qc.xhscdn.com/202503172207/7a23b426e0e6694ecdcbd6b3a6465cf7/1040g008316dgdnq8he6g5o26skjg86dpp6dvbg8!nc_n_webp_mw_1,https://sns-avatar-qc.xhscdn.com/avatar/63243ae68c8bb8ed73fd7cd1.jpg?imageView2/2/w/80/format/jpg?imageView2/2/w/60/format/webp|imageMogr2/strip
建议收藏【精酿入门保姆级攻略】越喝越苦,刘老师就二两,https://www.xiaohongshu.com/explore/66ebade5000000000c01a022?xsec_token=ABznj7BB7R9fK9KVO7irpC0mcBdSxHH9mnkq7jkYe74-g=&xsec_source=pc_search,1075,https://sns-webpic-qc.xhscdn.com/202503172207/fcc684384408561d23da3ebaf5820f3d/1040g008317tr73hcgq005o6v5mgo4mm90802j30!nc_n_webp_mw_1,https://sns-avatar-qc.xhscdn.com/avatar/6168ef12f035af79dfa3eb4a.jpg?imageView2/2/w/80/format/jpg?imageView2/2/w/60/format/webp|imageMogr2/strip
这很开门🚪了|乌梅桂花&芒果小麦精酿啤酒,半度酒铺,https://www.xiaohongshu.com/explore/672eeb97000000001b013da9?xsec_token=AByWJOQoKID_z3dbdrjTdeK4WIUGK1rUA2vcGi19P-vBI=&xsec_source=pc_search,654,https://sns-webpic-qc.xhscdn.com/202503172207/c9343b6091b9c57d5b3786e6a6bc7a7b/1040g008319vccoau6q4g5padol120bcv06a57k8!nc_n_webp_mw_1,https://sns-avatar-qc.xhscdn.com/avatar/662a20d122da3c00012932d3.jpg?imageView2/2/w/80/format/jpg?imageView2/2/w/60/format/webp|imageMogr2/strip
