title,author,full_link,like_count,cover_pic,author_img
十二年特斯拉老韭菜已减仓2/3,制片人老徐小姐姐,https://www.xiaohongshu.com/explore/67c285fe000000000603a9f4?xsec_token=ABRPP-kTtufVZ-yY9GWOY0rrDq-vkGgS_12uodZeMSoec=&xsec_source=pc_search,252,https://sns-webpic-qc.xhscdn.com/202503181335/ca709c2d13f8d21f97b70232a5153c7f/notes_pre_post/1040g3k031efkuc0b0s0048j4rdlffitfsu8t53o!nc_n_webp_mw_1,https://sns-avatar-qc.xhscdn.com/avatar/65119a680d66265ee068c22b.jpg?imageView2/2/w/80/format/jpg?imageView2/2/w/60/format/webp|imageMogr2/strip
过来人：买特斯拉必须要知道的买车真相‼️,特友团聊加电,https://www.xiaohongshu.com/explore/67d6c024000000000b017775?xsec_token=ABqF4GON5TgjlyXwZcaXmEOxL9-HRDjTA1ZJmKO3dXu08=&xsec_source=pc_search,36,https://sns-webpic-qc.xhscdn.com/202503181335/153c603d26156b981647264fe49b2fc3/1040g2sg31f3d6bvj66dg5oqrm7em43o1c6kjrlg!nc_n_webp_mw_1,https://sns-avatar-qc.xhscdn.com/avatar/645e052fbef4b6b8c9efd951.jpg?imageView2/2/w/80/format/jpg?imageView2/2/w/60/format/webp|imageMogr2/strip
特斯拉的远景和近景，什么时候可以入场,Edgerunner,https://www.xiaohongshu.com/explore/67d23b40000000000e0070c7?xsec_token=ABYOeL-P4OVJho0iTfqnJOCgWffDgFCcGTlyPcEBKYF-0=&xsec_source=pc_search,155,https://sns-webpic-qc.xhscdn.com/202503181335/f9d16fea191f2ffcbb5e9526685ebeae/1040g00831euvpr106e0g40tkbb8qclo7aaqftdg!nc_n_webp_mw_1,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31dg7bblcgm0040tkbb8qclo74g90re0?imageView2/2/w/80/format/jpg?imageView2/2/w/60/format/webp|imageMogr2/strip
新款Model Y｜新旧大对比，怎么买都没错,阿拉丁-神经,https://www.xiaohongshu.com/explore/67a4c76a000000001902ea0c?xsec_token=ABdJPzu-cTT-mqI_b3rqjYmNFkGn6WQaEsF2gTUoySyZM=&xsec_source=pc_search,78,https://sns-webpic-qc.xhscdn.com/202503181335/83c0f606cf6fb7fec223182db08909a9/spectrum/1040g34o31dij55i112005p8mjjg8sj0pgc7bl6g!nc_n_webp_mw_1,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31dkg8e0pge5g5p8mjjg8sj0pfd8h4ao?imageView2/2/w/80/format/jpg?imageView2/2/w/60/format/webp|imageMogr2/strip
越买越跌 越跌越买 别人恐惧我接盘 特斯拉,EE背水一战,https://www.xiaohongshu.com/explore/67bde3990000000006038aa4?xsec_token=ABIWDeJgMfyyLpeIGMQfh5gtCcJIZ_xomv5mT4Ek-eAb8=&xsec_source=pc_search,227,https://sns-webpic-qc.xhscdn.com/202503181335/54a05ebaeeb9784fb8f91ffcc8708f17/1040g2sg31eb48qah0u705obsmab40rbckv00i90!nc_n_webp_mw_1,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31a32rdi0nc0g5obsmab40rbc57nc2ng?imageView2/2/w/80/format/jpg?imageView2/2/w/60/format/webp|imageMogr2/strip
人生首车闭眼入！Model 3这优惠杀疯了 ！,正在TSL搬砖的🍊小橙子,https://www.xiaohongshu.com/explore/67c6a847000000002901f8ff?xsec_token=ABC6m6Kko61c065CkLZIXDbHdre1qDJr9Fll3Wigurpls=&xsec_source=pc_search,37,https://sns-webpic-qc.xhscdn.com/202503181335/3977b8a0c8e55ae978e6754d5b7ce285/notes_pre_post/1040g3k831ejm7re9gs705nmgnpi0brdnfsdd5lg!nc_n_webp_mw_1,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31eaakrjf0s005nmgnpi0brdnu967ur8?imageView2/2/w/80/format/jpg?imageView2/2/w/60/format/webp|imageMogr2/strip
我为什么坚定看好特斯拉,yang,https://www.xiaohongshu.com/explore/67d3dae1000000001203c98f?xsec_token=ABj2TvQnNio8j5IAtn5ToqAs2QWKpGGoIQ78cMNVnIkM0=&xsec_source=pc_search,61,https://sns-webpic-qc.xhscdn.com/202503181335/4d31591117473ff71a8aa22275f9fcc2/notes_pre_post/1040g3k031f0hrk1666005patilmglef629glabo!nc_n_webp_mw_1,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31f0hka9s6e005patilmglef6ua3pong?imageView2/2/w/80/format/jpg?imageView2/2/w/60/format/webp|imageMogr2/strip
听劝，没规划千万别买特斯拉新Y！！,特斯拉干货君,https://www.xiaohongshu.com/explore/67d0fade000000000e0072e8?xsec_token=ABrx7XiuncOp2JB7b_Hp0CM7dClW8pL_mmlAp9c--8SsQ=&xsec_source=pc_search,8,https://sns-webpic-qc.xhscdn.com/202503181335/1029c65fc9dca2b29a0f257a0bb45c8b/spectrum/1040g34o31etoagsk6m0g5pt4ha5jibdnvibaad8!nc_n_webp_mw_1,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31dojmfor0s505pt4ha5jibdnagjace0?imageView2/2/w/80/format/jpg?imageView2/2/w/60/format/webp|imageMogr2/strip
特斯拉两任车主经验：买车必须知道的真相！,特友团充电生活,https://www.xiaohongshu.com/explore/67d2c4b1000000000903a221?xsec_token=ABYOeL-P4OVJho0iTfqnJOCiGMY96c6rhPdICcqPnHy1I=&xsec_source=pc_search,118,https://sns-webpic-qc.xhscdn.com/202503181335/514a5a52d486544ef721f946c65640ca/1040g2sg31evgo2nk6i605oqedc263hvunipli7g!nc_n_webp_mw_1,https://sns-avatar-qc.xhscdn.com/avatar/6614a9ab94fc390001088c24.jpg?imageView2/2/w/80/format/jpg?imageView2/2/w/60/format/webp|imageMogr2/strip
25年买Model Y，思路一定要清晰！,超能先锋,https://www.xiaohongshu.com/explore/67af02af000000002900bdaa?xsec_token=ABXX0TCcmWtIhc7ib3eCM3N2Nb8koai1kBWhVaNHSpPYY=&xsec_source=pc_search,244,https://sns-webpic-qc.xhscdn.com/202503181335/3cb7d1c05eeab594d72f57dfb874c00c/spectrum/1040g0k031dsj9u6tge005pt5l2kinvcca4787og!nc_n_webp_mw_1,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31djfl8adge605pt5l2kinvcccb30708?imageView2/2/w/80/format/jpg?imageView2/2/w/60/format/webp|imageMogr2/strip
