title,author,full_link,like_count,cover_pic,author_img
从狗粮论我家的消费降级：,玛卡巴卡,https://www.xiaohongshu.com/explore/66926e820000000025005826?xsec_token=ABqL8JnZeNXU9tF9jjNJTiqXKYKqJbaztb8otcNY7hG-U=&xsec_source=pc_search,453,https://sns-webpic-qc.xhscdn.com/202503202259/afb656d35a4da6dc1228a26a7ca8ce46/1040g0083156m7fvb0k005ne59q109adms9smoq8!nc_n_webp_mw_1,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo3141fq466h8005ne59q109adm6ng3hv8?imageView2/2/w/80/format/jpg?imageView2/2/w/60/format/webp|imageMogr2/strip
真的是用心做的狗粮😭发誓骗人一辈子不顺！,小狗厨房,https://www.xiaohongshu.com/explore/66d51217000000001f03be9a?xsec_token=ABWVzW0uhCyZ1qfX8eATUBj9kwNCUUmX9ljMAQg-t0gOI=&xsec_source=pc_search,3112,https://sns-webpic-qc.xhscdn.com/202503202259/b636b52e9d9235ea528db44813714ae8/1040g2sg3177n6ss0jm8g5oho78240ruh9srrou0!nc_n_webp_mw_1,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31b6a6arknm005oho78240ruhbf8vrso?imageView2/2/w/80/format/jpg?imageView2/2/w/60/format/webp|imageMogr2/strip
我真的买不起大几十一斤的狗粮,欧巧宠物食品店,https://www.xiaohongshu.com/explore/666c39a20000000006004150?xsec_token=ABJVUl3kGP_dnX6o5RI-_ZPZvG4LuQSBuFI5ksL-QZsaw=&xsec_source=pc_search,69,https://sns-webpic-qc.xhscdn.com/202503202259/14b02770cb6a4483f1d8d508107257e4/1040g2sg3141c8u7j1c005noj3fv0bqn7e6k4ql0!nc_n_webp_mw_1,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31ckn423j080g5noj3fv0bqn76kdi7tg?imageView2/2/w/80/format/jpg?imageView2/2/w/60/format/webp|imageMogr2/strip
预存一个新年愿望，与我的小狗年岁并进✨,BornTooth源齿,https://www.xiaohongshu.com/explore/6766935e00000000130022a3?xsec_token=ABxheAgL1s5mdNGqZ6uYTznikM9GNIugQ-cYjJr9UYxRg=&xsec_source=pc_search,68,https://sns-webpic-qc.xhscdn.com/202503202259/9988e7e306583b2cb4f0fa5b738579fa/spectrum/1040g0k031blrglth121g5nedeoj08h621sljheg!nc_n_webp_mw_1,https://sns-avatar-qc.xhscdn.com/avatar/28f3d5a8-c931-380b-bca1-b5b946c24167?imageView2/2/w/80/format/jpg?imageView2/2/w/60/format/webp|imageMogr2/strip
花100给咱家的狗狗做一个月的狗饭真的贵么,小茸家宠物食品,https://www.xiaohongshu.com/explore/6774ef5f000000001300fb51?xsec_token=ABGgISGl8jODVBB16vpIzIc7zqB5E1DrVg3ZNjxTKj6_0=&xsec_source=pc_search,2.8万,https://sns-webpic-qc.xhscdn.com/202503202259/bcfbf2b4628264dd8c83b37e87f311be/spectrum/1040g0k031c3serj0gc005p47nua4mnut7vu0vg0!nc_n_webp_mw_1,https://sns-avatar-qc.xhscdn.com/avatar/6770ed280b6e100001bb0048.jpg?imageView2/2/w/80/format/jpg?imageView2/2/w/60/format/webp|imageMogr2/strip
狗粮的骗局,鹏哥养犬问答（犹它部落）,https://www.xiaohongshu.com/explore/6657d76c000000000500757e?xsec_token=ABxJNREZblUSMbS75DiqtoIit602JBiYSxeT6d52QvaIg=&xsec_source=pc_search,100,https://sns-webpic-qc.xhscdn.com/202503202259/5abfd0c9374c3ffc48ccd6804b654f9f/1040g008313df9ae406005p3gevgpej334h9g3kg!nc_n_webp_mw_1,https://sns-avatar-qc.xhscdn.com/avatar/1000g2jo2q0l038uk60605p3gevgpej3360bsgc8?imageView2/2/w/80/format/jpg?imageView2/2/w/60/format/webp|imageMogr2/strip
人可以吃的狗粮,萌几萌优选,https://www.xiaohongshu.com/explore/67bdb4c4000000002a001070?xsec_token=ABIWDeJgMfyyLpeIGMQfh5gnr0ru8zd7zkQpUkH-5ueP0=&xsec_source=pc_search,22,https://sns-webpic-qc.xhscdn.com/202503202259/85c4fe997c8a1678a2b089e4e8622824/1040g00831eauhuqp126g5p6er5v2ov548ba19s0!nc_n_webp_mw_1,https://sns-avatar-qc.xhscdn.com/avatar/8d7ff9c3-cf20-3773-be24-89e768861e37?imageView2/2/w/80/format/jpg?imageView2/2/w/60/format/webp|imageMogr2/strip
当我让Deepseek帮我选狗粮，回答真的太详细,喵皮皮,https://www.xiaohongshu.com/explore/67b3105400000000170389b3?xsec_token=ABlR4ZlPO2cwKXHt4EE96BF4_o9mbIE-5LBY1A3t3ZEzs=&xsec_source=pc_search,33,https://sns-webpic-qc.xhscdn.com/202503202259/36c475ffb42222e9c0b655fdf08b9ae8/1040g00831e0hvjp8gs605n7hap8hduoqus1hut8!nc_n_webp_mw_1,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31dr28ocigu6g5n7hap8hduoqbmjgos0?imageView2/2/w/80/format/jpg?imageView2/2/w/60/format/webp|imageMogr2/strip
央视再次曝光毒狗粮,犹它部落,https://www.xiaohongshu.com/explore/67582e420000000002017336?xsec_token=ABFUN_DBsDGNiCZbiyn3-fZHltl0F52W9jbxVGthmCz8A=&xsec_source=pc_search,215,https://sns-webpic-qc.xhscdn.com/202503202259/858f4809b3be51d049b527c6de86420b/1040g00831b7pqr6d7e6g5nf16cvg827ah3l7c38!nc_n_webp_mw_1,https://sns-avatar-qc.xhscdn.com/avatar/64bc92e9bab61e0001714908.jpg?imageView2/2/w/80/format/jpg?imageView2/2/w/60/format/webp|imageMogr2/strip
细数11个月挑食🐶试过的狗粮,酒酿小荔枝（infj⚖）,https://www.xiaohongshu.com/explore/6662df6d000000001303ec3a?xsec_token=AB2985kSZOGWQgEHjT3i7g6a8Jw178hinB566jdGeFyfY=&xsec_source=pc_search,166,https://sns-webpic-qc.xhscdn.com/202503202259/902607a9a62067de79b19ca0e27a8a53/1040g2sg313o72ukvhk1049l3g3dauphinl0jhao!nc_n_webp_mw_1,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31b033abs720g49l3g3dauphin75iit8?imageView2/2/w/80/format/jpg?imageView2/2/w/60/format/webp|imageMogr2/strip
