title,author,full_link,like_count,cover_pic,author_img
理想销售离职后才敢告诉你的买车真相‼️,特友团聊加电,https://www.xiaohongshu.com/explore/6730aa2f000000001a037d25?xsec_token=AByhEgNYTPsrtW72IHr9J6VCmKoI7G48QOVqmj0uglC0E=&xsec_source=pc_search,1980,https://sns-webpic-qc.xhscdn.com/202503191624/4bfbff1d5a8681e7b4cf50d0bb44b1a2/1040g2sg31a170i79ngd05oqrm7em43o1vmfj31g!nc_n_webp_mw_1,https://sns-avatar-qc.xhscdn.com/avatar/645e052fbef4b6b8c9efd951.jpg?imageView2/2/w/80/format/jpg?imageView2/2/w/60/format/webp|imageMogr2/strip
语音智驾？！,理想汽车,https://www.xiaohongshu.com/explore/67d8f097000000000b015600?xsec_token=ABfCxMe4NZo4oMipplLBpLw6MEwj07Np5fD9jKuK8--FI=&xsec_source=pc_search,200,https://sns-webpic-qc.xhscdn.com/202503191624/2458db7173348e87fd887352bffa9841/1040g00831f5hjj6j6600456h188sl2s4kci6ikg!nc_n_webp_mw_1,https://sns-avatar-qc.xhscdn.com/avatar/62bbefaa52e708620a7c5f56.jpg?imageView2/2/w/80/format/jpg?imageView2/2/w/60/format/webp|imageMogr2/strip
【沉浸式提车】2024款理想L9,陈震同学,https://www.xiaohongshu.com/explore/663d85ee000000001e039cbf?xsec_token=ABCqc7q4LyHnNXTWq4dgbbiZgpa7vnhgxQiXvIGt6CFW4=&xsec_source=pc_search,2491,https://sns-webpic-qc.xhscdn.com/202503191624/ed54f373e330405a4b8fae6fda1c61da/1040g008312joqvo47k005nkdjkm08u2n416crv0!nc_n_webp_mw_1,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo30u8oa928li005nkdjkm08u2ndggds20?imageView2/2/w/80/format/jpg?imageView2/2/w/60/format/webp|imageMogr2/strip
理想L6/7/8/9全面对比，看完就知道怎么选！,汽车小陈宇宙行,https://www.xiaohongshu.com/explore/67cd7f02000000002900cfe6?xsec_token=ABYjtyj1O_jhh77R_q1VQwxJPX9DjVk-RSgnkHPJiLK6U=&xsec_source=pc_search,234,https://sns-webpic-qc.xhscdn.com/202503191624/e2697ce9327158cff19efd35423b18ba/1040g2sg31eqbvrlflu605pqiuemn3bccs0iumog!nc_n_webp_mw_1,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31emeu3kc4s6g5pqiuemn3bccigm96sg?imageView2/2/w/80/format/jpg?imageView2/2/w/60/format/webp|imageMogr2/strip
双腔空悬没用？建议说这话的人去试驾,老汤哥Tango,https://www.xiaohongshu.com/explore/67cefe1f000000000603990e?xsec_token=ABR_M2NSVyL1pKIpTgxRBad8uu6jVrkMi8oFqARUeOwHk=&xsec_source=pc_search,199,https://sns-webpic-qc.xhscdn.com/202503191624/619ea7e0c013459598a66e2f14c32028/1040g2sg31erqo5n16o7g5okvf4p8c5d681gb30g!nc_n_webp_mw_1,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo315jo8i6rgu005okvf4p8c5d6j26np00?imageView2/2/w/80/format/jpg?imageView2/2/w/60/format/webp|imageMogr2/strip
太离谱了！理想L9，三月新政跌破37w😭,红红聊电车,https://www.xiaohongshu.com/explore/67a714e70000000028028d17?xsec_token=ABrd6qOu_lZoIC5MLCMZAeGOxOyOnbKEnLUeIwV449AFE=&xsec_source=pc_search,61,https://sns-webpic-qc.xhscdn.com/202503191624/f5673c7905fde72883b87634fd4eb1e3/1040g00831dkrhfa716605pmiha42u41i8iam840!nc_n_webp_mw_1,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31bo251h0166g5pmiha42u41inp7sk1g?imageView2/2/w/80/format/jpg?imageView2/2/w/60/format/webp|imageMogr2/strip
理想汽车2024年财报分析和2025年财报预测,人生体系框架与财富自由,https://www.xiaohongshu.com/explore/67d42bd1000000001d0391dd?xsec_token=ABpPa30sOKON9Jzs6XCT_A-_fxS3LzTcqv4Yz1w4ULuiQ=&xsec_source=pc_search,5,https://sns-webpic-qc.xhscdn.com/202503191624/f03102120c952c79dc2e4a4a4a33c9b0/spectrum/1040g34o31f0sfu4mls9g415f01cfm9iv1qptt2g!nc_n_webp_mw_1,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31cedum17gu6048htri6pvn5geispq10?imageView2/2/w/80/format/jpg?imageView2/2/w/60/format/webp|imageMogr2/strip
🔥击穿底价！理想L6史诗级锁单公式,小丫,https://www.xiaohongshu.com/explore/67d835d0000000001203e577?xsec_token=ABfCxMe4NZo4oMipplLBpLw6ZUy0_-UDShZeaji-Pvj6Y=&xsec_source=pc_search,3,https://sns-webpic-qc.xhscdn.com/202503191624/177481f1cafa5c1e328f6995f8685179/notes_pre_post/1040g3k031f4qeg4gma0g5pnvntd7cej6nl3bdmo!nc_n_webp_mw_1,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31eea020lh0105pq5f3fn34uhnqubej8?imageView2/2/w/80/format/jpg?imageView2/2/w/60/format/webp|imageMogr2/strip
理想汽车高级管理成员简介,职场华哥 （Stephen）,https://www.xiaohongshu.com/explore/64b7a2c2000000001602466e?xsec_token=ABPgVD_ykikIysMqzr1Tvx8u2juktlVVzTdR8XFneVMD4=&xsec_source=pc_search,466,https://sns-webpic-qc.xhscdn.com/202503191624/d2f52dbed223c65fd5a3f8c1e1e5d679/1000g0082qrpu154jq05g5o6n9jl08l1f2t8huuo!nc_n_webp_mw_1,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo30sdm7g7h3m405o6n9jl08l1f4g79c1o?imageView2/2/w/80/format/jpg?imageView2/2/w/60/format/webp|imageMogr2/strip
理想汽车的采购总监有多贪：1500万的豪车！,科技价值,https://www.xiaohongshu.com/explore/658c0a55000000001102dded?xsec_token=AB4T_ZG0zfyprwfTHzC5zmH1n1uBPiQq_byRyj2D1n_bI=&xsec_source=pc_search,1812,https://sns-webpic-qc.xhscdn.com/202503191624/bf16a2473ecbfa826df7623851174b8d/1040g00830tfc9cmb406g40loncaf0ovsslpiub8!nc_n_webp_mw_1,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo30srvk7uq423g40loncaf0ovsqqm60og?imageView2/2/w/80/format/jpg?imageView2/2/w/60/format/webp|imageMogr2/strip
