title,author,full_link,like_count,cover_pic,author_img
面包控必学意式恰巴塔面包🥪超简单又美味,主厨Paolo,https://www.xiaohongshu.com/explore/6630898b000000001e0384b6?xsec_token=AB-E7wTNJ5q8YKzlOrKuZDGUTPXlkuRTaO7LBOIxD_4oU=&xsec_source=pc_search,2.5万,https://sns-webpic-qc.xhscdn.com/202503171344/9ffe8afbf8b93af63e89fdb8d31f59c4/spectrum/1040g34o31271smpnhm005na51nckaicecegnac0!nc_n_webp_mw_1,https://sns-avatar-qc.xhscdn.com/avatar/6247ba05a1344e3c39af3e99.jpg?imageView2/2/w/80/format/jpg?imageView2/2/w/60/format/webp|imageMogr2/strip
感谢小红书平台让我的贝果卖了 17W➕,麦初 Bakery,https://www.xiaohongshu.com/explore/672f2f06000000001a034d67?xsec_token=AB9r9TJvZewyts24KeDN2MKtcxxDs38tA2t68BCcDWzRA=&xsec_source=pc_search,5038,https://sns-webpic-qc.xhscdn.com/202503171344/43e546b00aaec2c40b9fbfe3978e4f91/1040g008319vona9dne5g5pig8r91otrkv9ovreo!nc_n_webp_mw_1,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo3166ktqtm1a6g5pig8r91otrkm9rspj8?imageView2/2/w/80/format/jpg?imageView2/2/w/60/format/webp|imageMogr2/strip
超好吃的牛角包，原来这么简单，搅一搅就完成,添添天天吃什么,https://www.xiaohongshu.com/explore/66249d5a0000000001031bbc?xsec_token=ABcVru2UsCWxW-WpcIAK5E8nucYFseUrE2-f4uZQTK0bc=&xsec_source=pc_search,9万,https://sns-webpic-qc.xhscdn.com/202503171344/1667b798d1233da9b97f803d9ca924df/1040g008311red4o6n0005n0ssd8hegp1bht4g50!nc_n_webp_mw_1,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo30uh14rvv5g005n0ssd8hegp138tqjo8?imageView2/2/w/80/format/jpg?imageView2/2/w/60/format/webp|imageMogr2/strip
终于理解大家说的好吃到失声…,Troy cake,https://www.xiaohongshu.com/explore/6603a85e000000001203d788?xsec_token=ABvl6m7euVstnBzwY3l4pMTv-ClNo5WKar0nMINuNvgc0=&xsec_source=pc_search,4249,https://sns-webpic-qc.xhscdn.com/202503171344/770fec7d0f797aceba2dfbb274a4bfd1/1040g2sg310r8hgft6k005npieib0brsqkaa8n3o!nc_n_webp_mw_1,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31eaqr2nmgs005npieib0brsqn5e89p0?imageView2/2/w/80/format/jpg?imageView2/2/w/60/format/webp|imageMogr2/strip
北京，我最不希望倒闭的7️⃣家面包店 🍞,🥐佳嘻嘻🥐,https://www.xiaohongshu.com/explore/67c19673000000000b016f7d?xsec_token=ABgWbz5TnVtUs4RD6IlL7scFqx2CIkckOFCJtzkNG68M4=&xsec_source=pc_search,37,https://sns-webpic-qc.xhscdn.com/202503171344/49bffa1848665f2d0d83b54fc99f4474/1040g2sg31eenre7a0k8049efm43dvc215u5lvm8!nc_n_webp_mw_1,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31c1oadh3gs0049efm43dvc214sub63g?imageView2/2/w/80/format/jpg?imageView2/2/w/60/format/webp|imageMogr2/strip
大名鼎鼎的布里欧修皇冠吐司‼️一次就成功～,袁宝的烘焙日记,https://www.xiaohongshu.com/explore/67485aaf000000000703407e?xsec_token=ABIgkZw6Yt3g321VXWFNMg8WdzuE0tYpGs-DQkuDOD1UI=&xsec_source=pc_search,9661,https://sns-webpic-qc.xhscdn.com/202503171344/ef0281d017b28604d4eee8c451b783dc/1040g2sg31aob2i5b6o704a10spo3c5i6eb9eepo!nc_n_webp_mw_1,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31d5j5f0a0c004a10spo3c5i6i1l903g?imageView2/2/w/80/format/jpg?imageView2/2/w/60/format/webp|imageMogr2/strip
免揉面 0失败 无糖油欧包做法,肖小姐的轻食记,https://www.xiaohongshu.com/explore/667075d7000000000e033f70?xsec_token=ABc57AmZOF6qxzHiHvKVjHTDk0Kg6qTfbYLrofd5qNgh8=&xsec_source=pc_search,2.7万,https://sns-webpic-qc.xhscdn.com/202503171344/0ef216de28c1e4436b56c27ccbf5c32b/1040g0083145gk4iphk004a4iti4st0ali8bkkso!nc_n_webp_mw_1,https://sns-avatar-qc.xhscdn.com/avatar/645ddcf2e29f7d0acadaf1c0.jpg?imageView2/2/w/80/format/jpg?imageView2/2/w/60/format/webp|imageMogr2/strip
北京面包节会惩罚每个不做攻略的人‼️,某个美女,https://www.xiaohongshu.com/explore/67d1a50b000000002903364a?xsec_token=AB2GxB1rSvoqRAKcuKe3jJYfMd3I-Tn4yEiqbdMa0riMU=&xsec_source=pc_search,334,https://sns-webpic-qc.xhscdn.com/202503171344/620f0000c1f30b30796bf2ee299e7600/1040g00831eudkct9m60049mvrcdgd303lr1a2rg!nc_n_webp_mw_1,https://sns-avatar-qc.xhscdn.com/avatar/605d951920d23f5663ee0f1a.jpg?imageView2/2/w/80/format/jpg?imageView2/2/w/60/format/webp|imageMogr2/strip
北京🔟家 自己私藏的宝藏面包店合集🥐,叫我阿梧®,https://www.xiaohongshu.com/explore/66ed4a920000000012010356?xsec_token=ABgR9wOi19pbm6AXoiDetbT_u2uqiOvhPQ84zQ7IT7CJg=&xsec_source=pc_search,626,https://sns-webpic-qc.xhscdn.com/202503171344/7b215d249ab7b96c419f847e92b08725/1040g008317vdirvl3k0049vvqnb91sa3hkpar4g!nc_n_webp_mw_1,https://sns-avatar-qc.xhscdn.com/avatar/5fbce57d0e745f00013bf4c4.jpg?imageView2/2/w/80/format/jpg?imageView2/2/w/60/format/webp|imageMogr2/strip
我家的面包机快累瘫了!,东菱生活家,https://www.xiaohongshu.com/explore/67c5153e0000000006039950?xsec_token=ABW09C0yVH-rktke5EVEvHbj2puUTfAUZRS4PYBECrfnM=&xsec_source=pc_search,101,https://sns-webpic-qc.xhscdn.com/202503171344/4d250f750800f3d596c3a1a02a88e16e/spectrum/1040g0k031ei505sdg8005pnksu4jcsv0g25bds8!nc_n_webp_mw_1,https://sns-avatar-qc.xhscdn.com/avatar/67049a9e8b71460001979bf4.jpg?imageView2/2/w/80/format/jpg?imageView2/2/w/60/format/webp|imageMogr2/strip
牛奶面包｜奶香浓郁｜整形简单新手友好,骁妈美食记,https://www.xiaohongshu.com/explore/679efd08000000001800c8e9?xsec_token=ABXrohzGcmhn76x3-ex0AynZXRXOn4SbtOCGWkCaxXhlk=&xsec_source=pc_search,3682,https://sns-webpic-qc.xhscdn.com/202503171344/8742d0b9ba56de3ae3b0935dcdb71d85/1040g00831dcuk7e20u005nq4ij6g87kj6etnoro!nc_n_webp_mw_1,https://sns-avatar-qc.xhscdn.com/avatar/6405bd21257af9e276af4d88.jpg?imageView2/2/w/80/format/jpg?imageView2/2/w/60/format/webp|imageMogr2/strip
水合法牛奶吐司🍞绵软拉丝奶香浓郁,Mika咪卡,https://www.xiaohongshu.com/explore/6526b926000000001f0060aa?xsec_token=AB5j647zcnqdUFnfzNRQWAuWGzTGMnnAcLU1nEwHw-4Rs=&xsec_source=pc_search,3万,https://sns-webpic-qc.xhscdn.com/202503171344/77763980835c9ad895f2326c598e23e8/spectrum/1040g0k030q3gajjpn4005nj0io6g970n797k68g!nc_n_webp_mw_1,https://sns-avatar-qc.xhscdn.com/avatar/1000g2jo2lj4ve10ii00g5nj0io6g970nr8j3hd0?imageView2/2/w/80/format/jpg?imageView2/2/w/60/format/webp|imageMogr2/strip
一次成功！免揉蔓越莓面包！不用揉面超简单✅,🌈跳跳美食记,https://www.xiaohongshu.com/explore/6746eb07000000000202ab77?xsec_token=ABXK4tWSlNZ81_rwqB6WsbnXNjSzWReM7wzIVtXmUfIrI=&xsec_source=pc_search,1.5万,https://sns-webpic-qc.xhscdn.com/202503171344/81779d1f600590b1a7f1a1238cdfc4f0/1040g00831amu4lfbnc004bhdat413jbtfcjq5p0!nc_n_webp_mw_1,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31a2i7guinc0g4bhdat413jbtov0ogqo?imageView2/2/w/80/format/jpg?imageView2/2/w/60/format/webp|imageMogr2/strip
自用10年的配方㊙️，北海道手撕吐司，绵软拉丝,淘桃曼,https://www.xiaohongshu.com/explore/6556ecc2000000001703537d?xsec_token=ABN7zaBocL8FIxFGBe0xkYdGQWtzkQ4kKn4VH0931kcAE=&xsec_source=pc_search,1.1万,https://sns-webpic-qc.xhscdn.com/202503171344/fdc782c0212105c5fda7d2612009dd11/1040g2sg30riikl8k280040of1l5oege2r3fir30!nc_n_webp_mw_1,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo30vcrvs7l5k0040of1l5oege28nu6cig?imageView2/2/w/80/format/jpg?imageView2/2/w/60/format/webp|imageMogr2/strip
